Date,Open,High,Low,Volume,Close
2014-09-17,465.8640137,468.1740112304688,452.4219970703125,21056800.0,457.3340148925781
2014-09-18,456.8599853515625,456.8599853515625,413.1040039,34483200.0,424.4400024414063
2014-09-19,424.1029968261719,427.8349914550781,384.5320129394531,37919700.0,394.7959899902344
2014-09-20,394.6730041503906,423.2959899902344,389.8829956054688,36863600.0,408.9039916992188
2014-09-21,408.0849914550781,412.4259948730469,393.1809997558594,26580100.0,398.8210144042969
2014-09-22,399.1000061035156,406.9159851074219,397.1300048828125,24127600.0,402.1520080566406
2014-09-23,402.0920104980469,441.5570068359375,396.1969909667969,45099500.0,435.7909851074219
2014-09-24,435.7510070800781,436.1119995117188,421.1319885253906,30627700.0,423.2049865722656
2014-09-25,423.1560059,423.5199890136719,409.4679870605469,26814400.0,411.5740051269531
2014-09-26,411.4289855957031,414.9379883,400.0090026855469,21460800.0,404.4249877929688
2014-09-27,403.5559997558594,406.62298583984375,397.37200927734375,15029300.0,399.5199890136719
2014-09-28,399.4710083007813,401.0169982910156,374.3320007324219,23613300.0,377.1809997558594
2014-09-29,376.9280090332031,385.21099853515625,372.2399902,32497700.0,375.4670104980469
2014-09-30,376.0880126953125,390.97698974609375,373.4429931640625,34707300.0,386.9440002441406
2014-10-01,387.427002,391.3789978027344,380.7799987792969,26229400.0,383.6149902
2014-10-02,383.9880065917969,385.49700927734375,372.9460144042969,21777700.0,375.0719909667969
2014-10-03,375.1809997558594,377.6950073242188,357.8590087890625,30901200.0,359.5119934082031
2014-10-04,359.8919982910156,364.4869995117188,325.8859863,47236500.0,328.8659973144531
2014-10-05,328.9159851074219,341.8009948730469,289.2959899902344,83308096.0,320.5100098
2014-10-06,320.3890075683594,345.1340026855469,302.5599975585937,79011800.0,330.0790100097656
2014-10-07,330.5840148925781,339.2470092773437,320.48199462890625,49199900.0,336.1870117
2014-10-08,336.1159973144531,354.3640137,327.1879883,54736300.0,352.94000244140625
2014-10-09,352.7479858398437,382.72601318359375,347.6870117,83641104.0,365.0260009765625
2014-10-10,364.6870117,375.0669860839844,352.9630126953125,43665700.0,361.5620117
2014-10-11,361.3619995117188,367.1910095214844,355.95098876953125,13345200.0,362.2990112304688
2014-10-12,362.6059875488281,379.4330139160156,356.1440124511719,17552800.0,378.5490112304688
2014-10-13,377.9209899902344,397.22601318359375,368.8970031738281,35221400.0,390.41400146484375
2014-10-14,391.6919860839844,411.697998,391.3240051269531,38491500.0,400.8699951171875
2014-10-15,400.9549865722656,402.22698974609375,388.7659912109375,25267100.0,394.7730102539063
2014-10-16,394.51800537109375,398.8070068359375,373.0700073242188,26990000.0,382.5559997558594
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,13600700.0,383.7579956054688
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,11416800.0,391.4419860839844
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,5914570.0,389.5459899902344
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,16419000.0,382.8450012207031
2014-10-21,382.4209899902344,392.6459961,380.8340148925781,14188900.0,386.4750061035156
